data_(yyyy-mm-dd),precipitacao_total_horário_(mm),pressao_atmosferica_ao_nivel_da_estacao_horaria_(mb),pressão_atmosferica_maxna_hora_ant_(aut)_(mb),pressão_atmosferica_min_na_hora_ant_(aut)_(mb),radiacao_global_(kj/m),temperatura_do_ar_-_bulbo_seco_horaria_(c),temperatura_do_ponto_de_orvalho_(c),temperatura_máxima_na_hora_ant_(aut)_(c),temperatura_mínima_na_hora_ant_(aut)_(c),temperatura_orvalho_max_na_hora_ant_(aut)_(c),temperatura_orvalho_min_na_hora_ant_(aut)_(c),umidade_rel_max_na_hora_ant_(aut)_(%),umidade_rel_min_na_hora_ant_(aut)_(%),umidade_relativa_do_ar_horaria_(%),vento_direcao_horaria_(gr)_(_(gr)),vento_rajada_maxima_(m/s),vento_velocidade_horaria_(m/s)
2002-12-08,,990.8190476190475,988.0238095238094,,0.009523809523809525,,,,,,,57.19047619047619,,,4.823809523809525,,
2002-12-09,,990.6791666666669,989.0541666666669,,0.15833333333333335,,,,,,,75.08333333333333,,,4.7625,,13.0
2002-12-10,,993.5541666666667,990.8000000000001,,0.05833333333333333,,,,,,,72.29166666666667,,,4.679166666666667,,10.0
2002-12-11,,995.0708333333336,992.2125,,0.2833333333333334,,,,,,,81.16666666666667,,,3.558333333333333,,
2002-12-12,,994.1083333333335,992.5041666666667,,3.3333333333333335,,,,,,,89.79166666666667,,,3.1166666666666667,,7.0
2002-12-13,,995.6583333333334,993.8166666666667,,0.0,24.145454545454548,21.21818181818182,24.436363636363637,23.654545454545453,21.57272727272727,,84.14285714285714,81.36363636363636,83.9090909090909,5.470833333333334,,6.0
2002-12-14,,994.1291666666667,990.9499999999999,,0.9500000000000001,24.591666666666665,21.587499999999995,25.087500000000006,23.97083333333333,22.075,,83.5625,81.125,84.0,4.508695652173913,3.0,1.0
2002-12-15,,992.9833333333335,991.0291666666667,,0.24166666666666667,23.475000000000005,21.049999999999997,24.14166666666667,22.90833333333333,21.545833333333338,,86.79166666666667,83.95833333333333,87.0,5.275,,12.0
2002-12-16,,996.2166666666666,993.6416666666664,,0.29600000000000004,23.52222222222222,20.746153846153845,24.026923076923083,23.08076923076923,21.21153846153846,,84.32,80.3,85.46153846153847,4.204166666666667,,2.6666666666666665
2002-12-17,,996.4173913043478,992.486956521739,,0.9217391304347826,24.502857142857142,21.242857142857144,25.165714285714287,23.919999999999998,21.811428571428568,,81.79310344827586,79.45714285714286,83.22857142857143,4.352173913043478,,5.0
2002-12-18,,993.7416666666664,990.8041666666667,,0.041666666666666664,25.43,21.249999999999996,26.18,24.74,21.865,,79.4375,74.9,79.2,3.7375000000000003,,2.0
2002-12-19,,993.2208333333336,990.9416666666667,,0.03333333333333333,24.36666666666666,21.260000000000005,24.902222222222214,23.9,21.631111111111107,,80.81159420289855,80.75555555555556,83.73333333333333,5.825,15.0,5.0
2002-12-20,,995.0416666666666,993.0124999999999,,0.0,23.82,21.49183673469387,24.361224489795923,23.37755102040816,21.846938775510203,,82.73972602739725,83.25200000000001,87.38775510204081,6.679166666666666,1.0,7.666666666666667
2002-12-21,0.0,996.8315789473684,995.921052631579,1001.5,0.0,26.607812499999994,20.711111111111112,27.209523809523805,25.88888888888889,21.433333333333334,21.266666666666666,76.07594936708861,69.3609375,73.109375,56.747368421052634,6.366666666666667,6.43076923076923
2002-12-22,0.0,1004.4799999999999,1005.36,1002.3799999999999,,28.127710843373492,21.189156626506023,28.742168674698792,27.438554216867466,21.883132530120477,21.3,72.65060240963855,65.46987951807229,68.62650602409639,275.2,6.28,3.3
2002-12-23,0.0,1002.6166666666667,1003.2833333333333,1001.6833333333333,,28.161904761904765,21.034523809523808,28.857142857142858,27.475000000000005,21.60714285714286,20.3,70.38095238095238,63.20238095238095,66.80952380952381,334.1666666666667,8.416666666666666,4.1000000000000005
2002-12-24,0.0,1003.7833333333334,1004.3499999999999,1002.6,,27.615476190476187,21.474999999999994,28.44404761904761,26.866666666666667,22.023809523809526,21.53333333333333,74.92857142857143,66.78571428571429,70.88095238095238,309.8333333333333,6.3500000000000005,3.066666666666667
2002-12-25,0.0,1004.3571428571429,1005.6000000000001,1002.7428571428571,,26.501123595505607,21.98651685393258,27.25056179775282,25.902247191011234,22.461797752808987,21.671428571428574,81.07865168539325,73.69662921348315,77.74157303370787,270.85714285714283,4.671428571428571,2.0
2002-12-26,0.0,1003.2999999999998,1003.9999999999999,1001.9333333333334,,26.035869565217393,21.933695652173906,26.57608695652174,25.527173913043477,22.477173913043476,21.083333333333332,82.90217391304348,76.8804347826087,79.83695652173913,125.5,7.666666666666667,3.5
2002-12-27,0.0,1002.35,1002.8666666666667,1000.9666666666667,,26.46666666666667,21.8875,27.014583333333338,25.928124999999994,22.34895833333333,21.683333333333334,80.3125,74.40625,77.45833333333333,313.5,6.266666666666667,2.6666666666666665
2002-12-28,0.0,1003.3399999999999,1003.9200000000001,1001.78,,25.434375,21.99166666666667,25.99479166666666,24.96354166666667,22.41875,22.12,84.67708333333333,79.20833333333333,82.03125,310.6,5.540000000000001,2.7600000000000002
2002-12-29,0.0,1001.6200000000001,1002.4399999999999,1000.8599999999999,,24.8875,21.976041666666664,25.370833333333326,24.42708333333334,22.287499999999994,22.54,86.97916666666667,81.86458333333333,84.61458333333333,343.0,6.02,2.6799999999999997
2002-12-30,0.0,1003.5600000000001,1003.9799999999999,1001.9400000000002,,24.668750000000006,21.819791666666656,25.146874999999994,24.16458333333333,22.169791666666665,22.54,87.39583333333333,82.04166666666667,84.78125,338.2,6.779999999999999,3.2
2002-12-31,0.0,1003.2166666666667,1004.1333333333333,1001.9,,25.190625,21.89791666666667,25.73125,24.71875,22.31770833333333,22.78333333333333,85.76041666666667,80.04166666666667,83.09375,308.6666666666667,5.3999999999999995,2.183333333333333
2003-01-01,0.0,1003.1,1004.2500000000001,1001.075,,24.694791666666664,22.223958333333346,25.118750000000006,24.259375000000006,22.584374999999998,22.799999999999997,89.09375,84.17708333333333,86.73958333333333,289.5,5.949999999999999,3.075
2003-01-02,0.0,1002.1666666666666,1002.6,1000.4666666666667,,25.423958333333328,22.47604166666666,25.95625,24.905208333333338,22.821875000000006,22.933333333333337,87.1875,81.61458333333333,84.69791666666667,332.3333333333333,7.233333333333334,3.866666666666667
2003-01-03,0.0,1000.1,1000.1,999.0,,24.854166666666668,22.346874999999997,25.406249999999996,24.327083333333338,22.755208333333332,22.2,89.19791666666667,83.51041666666667,86.51041666666667,12.0,5.7,2.4
2003-01-04,0.0,1001.275,1001.525,1000.175,,24.930208333333336,22.12708333333333,25.44479166666667,24.425,22.511458333333334,22.65,87.875,82.64583333333333,85.14583333333333,330.75,8.075,3.825
2003-01-05,0.04,1002.36,1003.14,1001.32,,26.087500000000016,21.796875000000004,26.569791666666674,25.530208333333324,22.248958333333334,21.860000000000003,81.90625,76.40625,79.01041666666667,317.8,8.64,3.7399999999999998
2003-01-06,0.0,1002.7666666666665,1003.5500000000001,1001.8666666666667,,27.361458333333342,22.031250000000004,27.97916666666666,26.73541666666667,22.597916666666663,22.833333333333332,78.29166666666667,70.95833333333333,74.57291666666667,304.5,6.8,3.1166666666666667
2003-01-07,0.0,1003.8000000000001,1004.675,1002.275,,26.52291666666667,22.661458333333318,27.21249999999999,25.88958333333333,23.143749999999997,22.124999999999996,83.82291666666667,76.51041666666667,80.5625,290.75,4.3,2.05
2003-01-08,0.0,1000.3666666666667,1000.8666666666667,999.6,,25.10312499999999,22.82499999999999,25.515625,24.735416666666676,23.153125,22.833333333333332,89.75,85.5,87.69791666666667,22.333333333333332,8.200000000000001,4.333333333333333
2003-01-09,0.0,1002.4714285714286,1003.2142857142857,1001.6142857142856,,26.35833333333333,22.20833333333334,26.832291666666663,25.777083333333334,22.640625,22.314285714285713,82.36458333333333,76.5625,79.42708333333333,278.85714285714283,7.742857142857143,3.557142857142857
2003-01-10,0.0,1004.9166666666666,1006.1833333333333,1003.6166666666667,,27.089583333333334,22.65729166666667,27.71979166666667,26.37083333333335,23.25625000000001,22.61666666666667,82.73958333333333,75.34375,78.92708333333333,226.66666666666666,5.566666666666666,2.6
2003-01-11,0.0,1004.65,1006.0333333333333,1003.0,,27.802083333333346,21.875,28.363541666666674,27.187500000000014,22.540625000000002,22.0,76.44791666666667,69.54166666666667,72.59375,316.6666666666667,6.966666666666668,3.1166666666666667
2003-01-12,0.0,1002.4399999999999,1003.46,1000.4799999999999,,27.516666666666655,22.042708333333337,28.219791666666666,26.851041666666674,22.65416666666667,21.459999999999997,77.33333333333333,69.63541666666667,73.64583333333333,306.8,4.34,1.8199999999999998
2003-01-13,0.0,1002.9833333333332,1004.2999999999998,1001.25,,25.84375000000001,22.090625,26.394791666666666,25.33125,22.597916666666663,22.36666666666667,84.07291666666667,77.55208333333333,80.98958333333333,268.1666666666667,5.3500000000000005,2.533333333333333
2003-01-14,0.0,1000.1,1000.1,999.3,,25.059374999999992,22.287499999999998,25.541666666666668,24.66145833333334,22.660416666666663,22.1,87.54166666666667,82.32291666666667,85.17708333333333,74.0,3.0,1.8
2003-01-15,0.0,1002.64,1003.32,1001.5800000000002,,25.233333333333338,22.45104166666667,25.77187500000001,24.71354166666666,22.873958333333338,22.82,88.1875,82.38541666666667,85.42708333333333,273.4,5.62,2.6799999999999997
2003-01-16,0.0,1002.4,1003.5333333333333,1000.7333333333332,,24.567708333333332,22.56458333333333,24.996874999999992,24.213541666666668,22.90833333333333,23.53333333333333,90.95833333333333,86.80208333333333,88.96875,324.6666666666667,6.866666666666667,3.033333333333333
2003-01-17,0.41851851851851857,973.2518518518519,973.9870370370371,972.8240740740744,1510.6153846153845,24.999999999999996,22.275000000000002,25.384375000000002,24.489583333333332,22.590625,21.899999999999995,88.27083333333333,83.32291666666667,85.70833333333333,227.46296296296296,4.9685185185185174,2.144444444444444
2003-01-18,2.9812500000000006,973.5541666666667,974.079166666667,972.9177083333334,1299.7586206896551,23.72187500000001,22.00833333333334,24.128125,23.42812500000001,22.297916666666666,21.747916666666665,92.0,88.40625,90.38541666666667,241.35416666666666,4.921875000000002,2.129166666666666
2003-01-19,0.7041666666666667,973.6989583333335,974.1666666666666,973.3218750000004,1013.3333333333334,23.602083333333344,21.66145833333333,23.98020833333334,23.12500000000001,21.948958333333326,21.31458333333333,91.53125,86.94791666666667,89.33333333333333,261.25,4.833333333333335,1.9437499999999994
2003-01-20,0.7916666666666669,973.4812500000003,973.9906250000005,973.138541666667,1647.4285714285713,24.073958333333326,21.572916666666675,24.408333333333328,23.730208333333337,21.875,21.30104166666667,88.51041666666667,84.53125,86.54166666666667,264.9270833333333,4.847916666666669,2.040625
